Label,Florida_Count,Georgia_Count,Hawaii_Count,Idaho_Count,Illinois_Count,Indiana_Count,Iowa_Count,Kansas_Count,Kentucky_Count,Louisiana_Count,Maine_Count,Maryland_Count,Massachusetts_Count,Michigan_Count,Minnesota_Count,Mississippi_Count,Missouri_Count,Montana_Count,Nebraska_Count,Nevada_Count,New Hampshire_Count,New Jersey_Count,New Mexico_Count,New York_Count,North Carolina_Count,North Dakota_Count,Ohio_Count,Oklahoma_Count,Oregon_Count,Pennsylvania_Count,Rhode Island_Count,South Carolina_Count,South Dakota_Count,Tennessee_Count,Texas_Count,Utah_Count,Vermont_Count,Virginia_Count,Washington_Count,West Virginia_Count,Wisconsin_Count,Wyoming_Count,Puerto Rico_Count,Alabama_Count,Alaska_Count,Arizona_Count,Arkansas_Count,California_Count,Colorado_Count,Connecticut_Count,Delaware_Count,District of Columbia_Count
Total:,"4,600,794","2,572,034","323,189","383,036","3,071,443","1,548,168","704,948","660,416","1,032,658","1,116,608","288,602","1,453,193","1,659,468","2,274,064","1,262,425","714,223","1,401,746","223,050","432,394","696,856","297,535","2,098,898","468,325","4,821,206","2,438,529","170,161","2,647,918","906,820","956,894","2,893,433","253,564","1,160,103","186,535","1,565,337","6,889,422","757,168","139,057","2,024,162","1,720,836","399,641","1,303,163","128,783","817,807","1,146,916","175,947","1,587,126","689,086","9,646,626","1,335,143","830,502","218,731","206,729"
Women who had a birth in the past 12 months:,"217,513","142,813","21,614","23,210","152,395","87,507","41,605","35,762","54,853","61,893","12,952","74,020","73,911","120,163","69,156","37,566","75,581","10,625","26,962","34,172","14,643","96,916","23,853","225,830","120,067","11,633","145,033","53,821","42,136","144,768","11,348","60,080","13,050","78,019","403,366","52,956","5,712","100,200","90,150","21,550","70,306","7,386","28,556","57,191","9,728","81,297","38,583","471,829","68,259","33,725","9,823","9,372"
        Now married (including separated and spouse absent):,"125,513","87,821","14,620","16,561","97,336","54,749","29,028","25,367","33,761","31,378","8,027","50,187","51,514","74,283","50,290","18,758","47,866","8,043","19,452","20,236","9,963","69,183","14,007","150,608","78,278","8,728","84,178","34,496","30,041","90,300","5,719","35,635","9,204","47,709","265,059","45,313","3,584","71,956","66,508","12,783","47,115","4,664","12,108","31,569","6,388","50,148","23,529","320,993","50,322","22,851","5,499","4,859"
            Less than high school graduate,"8,930","8,495",766,"1,418","5,396","5,720","1,550","2,458","3,683","2,243",118,"3,112","2,177","5,583","4,051","1,154","3,004",278,"1,902","2,040",441,"2,552","1,519","14,397","5,674",333,"5,894","3,144","2,871","6,692",209,"3,722",545,"3,826","34,250","2,694",123,"4,394","6,290",607,"2,756",296,709,"2,071",276,"7,257","3,007","37,008","4,143","1,792",362,0
            High school graduate (includes equivalency),"25,525","18,879","2,850","4,258","14,719","8,813","3,430","3,321","7,255","6,651","1,116","8,124","7,022","11,688","5,237","3,488","8,029","1,417","2,463","4,366",641,"11,804","2,291","29,048","12,353","1,984","13,400","7,663","6,041","13,439",421,"5,066","1,367","9,944","58,426","5,522",729,"10,299","10,473","3,170","6,909",604,"1,707","5,828",987,"7,320","4,773","60,362","7,559","2,083",917,37
            Some college or associate's degree,"38,273","24,761","6,640","5,990","22,730","17,354","9,529","7,058","10,772","9,400","2,122","10,641","10,583","25,373","13,687","7,069","15,592","2,612","5,373","6,072","1,655","13,376","5,944","30,505","28,090","2,454","25,641","11,141","8,603","22,390","1,891","10,883","2,888","15,251","72,440","18,739",735,"18,373","18,964","4,613","15,572","2,003","3,206","9,880","2,365","15,916","7,707","90,555","14,232","3,976","1,521",340
            Bachelor's degree,"32,859","21,668","2,911","4,103","32,035","16,003","9,807","6,932","6,842","8,819","3,250","15,274","16,184","20,348","18,391","3,770","13,285","2,842","5,957","4,744","3,817","23,432","2,831","38,206","20,321","3,238","24,553","8,723","7,458","27,033","1,677","9,263","2,896","11,626","67,991","15,280",816,"21,366","18,972","2,958","15,099","1,252","4,720","9,147","2,266","11,738","5,008","80,316","13,059","7,955","1,554","1,637"
            Graduate or professional degree,"19,926","14,018","1,453",792,"22,456","6,859","4,712","5,598","5,209","4,265","1,421","13,036","15,548","11,291","8,924","3,277","7,956",894,"3,757","3,014","3,409","18,019","1,422","38,452","11,840",719,"14,690","3,825","5,068","20,746","1,521","6,701","1,508","7,062","31,952","3,078","1,181","17,524","11,809","1,435","6,779",509,"1,766","4,643",494,"7,917","3,034","52,752","11,329","7,045","1,145","2,845"
"        Unmarried (never married, widowed and divorced):","92,000","54,992","6,994","6,649","55,059","32,758","12,577","10,395","21,092","30,515","4,925","23,833","22,397","45,880","18,866","18,808","27,715","2,582","7,510","13,936","4,680","27,733","9,846","75,222","41,789","2,905","60,855","19,325","12,095","54,468","5,629","24,445","3,846","30,310","138,307","7,643","2,128","28,244","23,642","8,767","23,191","2,722","16,448","25,622","3,340","31,149","15,054","150,836","17,937","10,874","4,324","4,513"
            Less than high school graduate,"16,237","9,263",389,"1,172","10,549","7,249","1,703","2,210","3,088","7,030",436,"3,659","4,029","7,901","2,708","3,492","4,813",439,"1,205","3,859",509,"3,932","2,968","15,652","7,066",415,"11,213","4,003","2,266","9,058","1,016","5,168",841,"5,609","32,803","1,942",148,"6,750","5,543","1,580","2,732",490,"1,998","5,895",462,"7,812","3,007","35,687","4,361","2,112","1,143",874
            High school graduate (includes equivalency),"33,192","19,897","2,806","3,635","15,352","11,210","3,702","3,214","6,667","10,421","1,852","8,118","7,036","16,341","5,439","5,666","8,431","1,126","2,383","4,533","2,400","9,698","3,292","19,289","13,081",828,"26,031","6,535","3,487","21,733","1,831","8,637","1,154","12,628","48,974","3,376",607,"8,869","8,970","2,630","9,111",756,"6,152","8,088","1,805","11,027","5,889","45,847","5,388","3,138","2,041","1,792"
            Some college or associate's degree,"33,282","20,084","2,596","1,609","22,762","11,766","5,845","3,789","9,030","10,065","1,984","9,147","6,777","19,138","8,779","8,001","12,006",796,"2,960","4,197","1,515","10,496","3,187","27,740","17,543","1,621","19,605","7,810","4,938","16,958","2,037","9,295","1,725","10,175","45,759","1,828","1,128","9,554","7,080","4,045","9,216","1,370","6,005","9,586",949,"10,631","5,292","51,892","6,855","3,863",695,794
            Bachelor's degree,"8,093","4,906",686,120,"4,810","2,317","1,181",880,"1,955","2,180",569,"1,931","3,449","2,053","1,789","1,350","2,326",221,962,703,226,"2,566",253,"8,574","3,405",41,"2,858",736,"1,012","5,185",528,"1,226",7,"1,810","8,368",164,169,"2,188","1,743",415,"1,841",20,"1,509","1,656",124,"1,259",742,"12,888",800,"1,059",359,910
            Graduate or professional degree,"1,196",842,517,113,"1,586",216,146,302,352,819,84,978,"1,106",447,151,299,139,0,0,644,30,"1,041",146,"3,967",694,0,"1,148",241,392,"1,534",217,119,119,88,"2,403",333,76,883,306,97,291,86,784,397,0,420,124,"4,522",533,702,86,143
Women who did not have a birth in the past 12 months:,"4,383,281","2,429,221","301,575","359,826","2,919,048","1,460,661","663,343","624,654","977,805","1,054,715","275,650","1,379,173","1,585,557","2,153,901","1,193,269","676,657","1,326,165","212,425","405,432","662,684","282,892","2,001,982","444,472","4,595,376","2,318,462","158,528","2,502,885","852,999","914,758","2,748,665","242,216","1,100,023","173,485","1,487,318","6,486,056","704,212","133,345","1,923,962","1,630,686","378,091","1,232,857","121,397","789,251","1,089,725","166,219","1,505,829","650,503","9,174,797","1,266,884","796,777","208,908","197,357"
        Now married (including separated and spouse absent):,"1,744,646","1,020,777","140,111","176,831","1,195,137","627,684","302,303","291,438","438,065","398,689","116,208","557,079","612,608","861,966","533,509","271,909","583,724","96,053","185,476","275,761","122,603","862,320","173,769","1,738,090","1,010,963","72,964","1,037,633","393,452","397,833","1,114,362","86,874","453,793","78,338","660,152","2,956,551","354,791","53,449","857,410","743,300","169,436","522,470","57,542","231,320","471,063","73,916","609,319","296,689","3,844,756","588,135","313,606","81,519","48,075"
            Less than high school graduate,"153,571","100,729","5,840","13,807","97,846","56,010","19,670","21,251","38,678","37,027","4,119","34,016","33,918","51,062","29,899","23,354","39,897","4,304","16,520","42,055","4,966","60,995","24,497","188,155","92,814","2,341","60,531","37,897","37,687","67,238","6,835","37,693","4,023","51,061","444,878","22,522","2,030","57,983","57,821","11,659","26,354","1,956","15,884","46,697","3,220","74,395","28,798","616,549","50,390","17,244","7,856","3,487"
            High school graduate (includes equivalency),"398,480","211,384","31,230","36,474","215,751","143,244","51,905","51,024","99,294","107,974","26,361","97,424","100,627","167,498","68,567","63,491","119,481","21,116","25,977","70,682","21,773","165,481","36,534","344,913","182,614","10,810","230,540","98,590","66,778","257,706","19,324","97,063","12,493","167,339","644,742","68,600","9,746","142,812","128,221","52,932","94,022","11,855","52,256","104,808","16,781","122,880","80,984","709,360","100,855","57,038","17,651","5,546"
            Some college or associate's degree,"564,676","310,312","50,839","70,185","335,449","208,414","108,221","95,993","154,316","126,723","36,937","137,829","136,689","297,472","176,724","104,789","194,457","32,377","58,985","89,633","37,298","194,974","61,766","422,662","334,051","27,543","333,905","131,047","134,580","297,142","22,680","156,412","28,227","207,807","863,211","142,261","15,638","245,641","241,560","57,244","179,923","23,920","67,707","165,049","26,441","208,498","96,115","1,076,037","170,994","73,505","21,569","4,425"
            Bachelor's degree,"410,504","242,670","36,622","41,447","330,019","148,145","84,878","81,123","86,462","83,994","30,932","146,061","179,950","214,991","169,053","51,460","143,098","25,557","57,308","48,514","34,940","268,509","30,797","415,418","260,596","22,618","254,798","88,841","95,982","295,919","22,817","103,902","22,705","152,390","674,436","91,989","15,826","237,021","197,873","29,364","145,218","12,065","68,310","97,537","19,682","132,023","58,233","880,229","168,189","94,866","19,826","12,205"
            Graduate or professional degree,"217,415","155,682","15,580","14,918","216,072","71,871","37,629","42,047","59,315","42,971","17,859","141,749","161,424","130,943","89,266","28,815","86,791","12,699","26,686","24,877","23,626","172,361","20,175","366,942","140,888","9,652","157,859","37,077","62,806","196,357","15,218","58,723","10,890","81,555","329,284","29,419","10,209","173,953","117,825","18,237","76,953","7,746","27,163","56,972","7,792","71,523","32,559","562,581","97,707","70,953","14,617","22,412"
"        Unmarried (never married, widowed and divorced):","2,638,635","1,408,444","161,464","182,995","1,723,911","832,977","361,040","333,216","539,740","656,026","159,442","822,094","972,949","1,291,935","659,760","404,748","742,441","116,372","219,956","386,923","160,289","1,139,662","270,703","2,857,286","1,307,499","85,564","1,465,252","459,547","516,925","1,634,303","155,342","646,230","95,147","827,166","3,529,505","349,421","79,896","1,066,552","887,386","208,655","710,387","63,855","557,931","618,662","92,303","896,510","353,814","5,330,041","678,749","483,171","127,389","149,282"
            Less than high school graduate,"583,857","344,234","29,103","49,395","373,353","213,514","83,016","84,028","132,194","157,890","30,712","169,364","188,640","294,165","147,941","100,733","175,519","24,832","51,242","95,175","30,414","252,080","65,657","575,904","303,231","17,554","338,554","119,045","112,848","340,930","28,406","146,673","23,735","185,603","938,113","97,581","14,089","222,366","209,926","51,851","155,280","15,450","107,131","153,768","20,537","227,875","92,709","1,259,915","144,922","96,177","27,347","15,623"
            High school graduate (includes equivalency),"627,040","305,504","40,015","43,486","333,241","195,602","69,801","66,676","121,912","175,679","39,822","172,982","176,652","280,767","115,010","90,341","155,895","28,932","39,012","96,443","36,963","240,805","60,788","537,183","260,223","18,501","344,452","111,271","93,972","411,977","31,537","146,620","19,936","208,264","761,879","73,067","19,142","217,856","162,474","59,461","154,867","14,950","117,675","144,813","24,543","195,373","86,868","996,855","130,249","104,631","36,267","24,403"
            Some college or associate's degree,"899,093","459,606","52,987","63,769","577,413","283,034","144,426","119,766","199,681","216,389","54,131","253,887","293,852","483,802","245,219","150,920","265,053","41,729","86,893","134,443","53,461","337,680","99,851","857,798","468,470","31,517","508,418","161,199","190,763","503,176","58,380","237,183","32,769","277,820","1,171,619","125,557","26,074","352,340","305,431","64,540","255,025","23,657","196,176","225,797","29,638","316,737","123,170","1,832,814","217,726","158,169","38,126","34,575"
