Label,Maine_Count,North Carolina_Count,Georgia_Count,Alaska_Count,Alabama_Count,Vermont_Count,Nevada_Count,West Virginia_Count,Oklahoma_Count,Wisconsin_Count,Puerto Rico_Count,Virginia_Count,North Dakota_Count,South Carolina_Count,Oregon_Count,Wyoming_Count,California_Count,Mississippi_Count,Connecticut_Count,Texas_Count,Maryland_Count,Florida_Count,Massachusetts_Count,District of Columbia_Count,Utah_Count,New York_Count,New Jersey_Count,Ohio_Count,Missouri_Count,Pennsylvania_Count,Michigan_Count,Nebraska_Count,Idaho_Count,New Mexico_Count,Hawaii_Count,South Dakota_Count,Washington_Count,Rhode Island_Count,Arizona_Count,Tennessee_Count,Kansas_Count,Colorado_Count,Indiana_Count,Kentucky_Count,Louisiana_Count,Illinois_Count,Iowa_Count,New Hampshire_Count,Arkansas_Count,Delaware_Count,Minnesota_Count,Montana_Count
Total:,"282,032","2,468,872","2,619,669","171,990","1,143,519","137,964","711,652","389,283","909,783","1,299,497","745,223","2,035,149","171,076","1,172,188","981,781","127,854","9,647,172","710,350","818,773","7,084,083","1,439,455","4,707,598","1,673,115","211,812","792,695","4,681,876","2,057,854","2,650,262","1,395,834","2,871,135","2,262,486","440,475","399,415","469,484","316,420","193,298","1,782,781","251,952","1,640,226","1,594,616","657,156","1,376,662","1,551,701","1,021,826","1,099,363","3,009,568","709,250","300,261","694,635","216,969","1,276,341","227,860"
Women who had a birth in the past 12 months:,"14,372","119,280","122,525","10,747","66,070","5,767","36,733","18,926","51,095","68,743","21,107","99,351","11,264","63,951","45,820","8,297","454,027","35,639","35,625","383,580","72,172","230,832","74,345","8,651","52,085","216,046","105,146","146,391","80,307","147,829","115,629","25,692","23,502","23,984","18,527","11,346","92,209","10,910","92,780","83,897","41,218","71,267","89,630","56,995","62,709","158,848","40,916","13,925","39,677","10,138","76,157","11,388"
        Now married (including separated and spouse absent):,"9,967","77,564","75,813","6,698","40,650","3,883","19,984","10,895","32,699","47,686","10,406","68,564","8,456","34,710","36,100","5,405","308,657","20,870","26,168","249,859","49,433","138,067","54,011","4,415","43,480","155,943","74,650","87,492","53,936","96,718","75,288","18,407","18,745","11,610","12,388","7,139","66,122","6,950","57,596","52,598","29,581","53,050","54,009","37,122","34,695","105,418","28,971","8,950","22,471","6,499","55,845","7,707"
            Less than high school graduate,558,"5,218","5,921",410,"3,450",81,"2,427",374,"2,815","2,683",391,"4,090",441,"1,032","3,678",613,"27,768","2,514","2,498","29,563","3,698","9,295","2,251",0,"3,062","13,433","4,566","5,017","3,387","9,785","5,399","1,230","1,294",759,380,431,"5,334",765,"5,474","3,497","2,753","5,153","4,942","3,300","2,501","5,500","2,021",822,"1,813",764,"3,852",138
            High school graduate (includes equivalency),"1,914","10,411","16,249","1,809","8,429",562,"5,360","2,933","6,570","7,520","2,511","7,973",481,"5,601","4,338","1,102","52,719","3,231","2,104","50,992","4,788","27,496","6,809",250,"7,900","28,645","12,244","16,063","8,611","13,335","11,309","2,221","4,852","2,596","2,535","1,147","10,070",612,"11,539","9,632","5,141","6,756","10,144","6,611","6,405","17,157","3,938","1,151","5,223","1,403","5,778","1,499"
            Some college or associate's degree,"3,105","26,644","19,556","1,557","13,952","1,200","5,749","3,346","10,569","13,555","2,630","21,514","2,611","12,477","11,096","1,636","85,438","8,537","5,281","64,624","10,206","41,432","10,212",502,"15,343","29,509","13,446","25,194","17,193","22,339","23,018","5,415","6,538","3,896","5,237","2,182","20,821","1,298","17,865","15,003","9,280","13,316","16,411","12,054","12,059","24,615","9,680","2,202","6,969","1,143","17,340","2,679"
            Bachelor's degree,"2,859","21,873","20,895","1,683","9,230","1,087","4,318","2,400","8,614","16,274","3,625","19,809","3,926","9,568","10,651","1,455","87,758","4,193","8,849","66,990","14,432","37,544","17,538",852,"13,435","40,857","26,693","25,012","14,608","28,620","23,750","5,967","4,868","2,104","2,287","2,022","17,938","2,389","15,101","15,147","8,414","16,453","15,154","9,284","9,035","32,138","9,492","3,089","5,696","1,512","17,174","2,440"
            Graduate or professional degree,"1,531","13,418","13,192","1,239","5,589",953,"2,130","1,842","4,131","7,654","1,249","15,178",997,"6,032","6,337",599,"54,974","2,395","7,436","37,690","16,309","22,300","17,201","2,811","3,740","43,499","17,701","16,206","10,137","22,639","11,812","3,574","1,193","2,255","1,949","1,357","11,959","1,886","7,617","9,319","3,993","11,372","7,358","5,873","4,695","26,008","3,840","1,686","2,770","1,677","11,701",951
"        Unmarried (never married, widowed and divorced):","4,405","41,716","46,712","4,049","25,420","1,884","16,749","8,031","18,396","21,057","10,701","30,787","2,808","29,241","9,720","2,892","145,370","14,769","9,457","133,721","22,739","92,765","20,334","4,236","8,605","60,103","30,496","58,899","26,371","51,111","40,341","7,285","4,757","12,374","6,139","4,207","26,087","3,960","35,184","31,299","11,637","18,217","35,621","19,873","28,014","53,430","11,945","4,975","17,206","3,639","20,312","3,681"
            Less than high school graduate,338,"8,486","7,490",781,"4,871",79,"3,348",889,"3,522","2,538","1,577","4,351",316,"6,832","1,880",818,"27,818","2,505",859,"29,988","4,872","14,179","2,619",480,"1,110","11,116","6,749","11,222","4,373","7,259","7,845","1,174",844,"2,560",611,706,"4,861",920,"7,622","3,488","2,224","2,777","5,917","3,383","7,047","7,538","1,372",505,"2,151",576,"3,639",862
