Label,Alabama_Count,Alabama_Male,Alabama_Female,Alaska_Count,Alaska_Male,Alaska_Female,Arizona_Count,Arizona_Male,Arizona_Female,Arkansas_Count,Arkansas_Male,Arkansas_Female,California_Count,California_Male,California_Female,Colorado_Count,Colorado_Male,Colorado_Female,Connecticut_Count,Connecticut_Male,Connecticut_Female,Delaware_Count,Delaware_Male,Delaware_Female,District of Columbia_Count,District of Columbia_Male,District of Columbia_Female,Florida_Count,Florida_Male,Florida_Female,Georgia_Count,Georgia_Male,Georgia_Female,Hawaii_Count,Hawaii_Male,Hawaii_Female,Idaho_Count,Idaho_Male,Idaho_Female,Illinois_Count,Illinois_Male,Illinois_Female,Indiana_Count,Indiana_Male,Indiana_Female,Iowa_Count,Iowa_Male,Iowa_Female,Kansas_Count,Kansas_Male,Kansas_Female,Kentucky_Count,Kentucky_Male,Kentucky_Female,Louisiana_Count,Louisiana_Male,Louisiana_Female,Maine_Count,Maine_Male,Maine_Female,Maryland_Count,Maryland_Male,Maryland_Female,Massachusetts_Count,Massachusetts_Male,Massachusetts_Female,Michigan_Count,Michigan_Male,Michigan_Female,Minnesota_Count,Minnesota_Male,Minnesota_Female,Mississippi_Count,Mississippi_Male,Mississippi_Female,Missouri_Count,Missouri_Male,Missouri_Female,Montana_Count,Montana_Male,Montana_Female,Nebraska_Count,Nebraska_Male,Nebraska_Female,Nevada_Count,Nevada_Male,Nevada_Female,New Hampshire_Count,New Hampshire_Male,New Hampshire_Female,New Jersey_Count,New Jersey_Male,New Jersey_Female,New Mexico_Count,New Mexico_Male,New Mexico_Female,New York_Count,New York_Male,New York_Female,North Carolina_Count,North Carolina_Male,North Carolina_Female,North Dakota_Count,North Dakota_Male,North Dakota_Female,Ohio_Count,Ohio_Male,Ohio_Female,Oklahoma_Count,Oklahoma_Male,Oklahoma_Female,Oregon_Count,Oregon_Male,Oregon_Female,Pennsylvania_Count,Pennsylvania_Male,Pennsylvania_Female,Rhode Island_Count,Rhode Island_Male,Rhode Island_Female,South Carolina_Count,South Carolina_Male,South Carolina_Female,South Dakota_Count,South Dakota_Male,South Dakota_Female,Tennessee_Count,Tennessee_Male,Tennessee_Female,Texas_Count,Texas_Male,Texas_Female,Utah_Count,Utah_Male,Utah_Female,Vermont_Count,Vermont_Male,Vermont_Female,Virginia_Count,Virginia_Male,Virginia_Female,Washington_Count,Washington_Male,Washington_Female,West Virginia_Count,West Virginia_Male,West Virginia_Female,Wisconsin_Count,Wisconsin_Male,Wisconsin_Female,Wyoming_Count,Wyoming_Male,Wyoming_Female,Puerto Rico_Count,Puerto Rico_Male,Puerto Rico_Female
AGE BY EDUCATIONAL ATTAINMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population 18 to 24 years,"471,079","234,658","236,421","73,053","41,110","31,943","672,180","349,045","323,135","287,448","145,595","141,853","3,799,994","1,959,452","1,840,542","522,727","273,800","248,927","352,052","179,736","172,316","83,940","42,042","41,898","74,760","34,109","40,651","1,763,443","910,219","853,224","1,018,588","519,243","499,345","123,797","68,746","55,051","161,870","86,039","75,831","1,199,876","612,110","587,766","657,470","336,819","320,651","321,452","167,374","154,078","296,020","153,925","142,095","420,632","218,819","201,813","454,814","233,232","221,582","109,965","56,543","53,422","537,623","274,643","262,980","700,662","349,225","351,437","967,140","495,675","471,465","500,408","256,517","243,891","310,206","158,687","151,519","575,596","295,666","279,930","96,932","50,938","45,994","186,225","96,089","90,136","250,902","129,337","121,565","126,595","64,875","61,720","792,310","405,917","386,393","206,873","108,022","98,851","1,874,770","948,690","926,080","981,044","512,435","468,609","86,353","46,803","39,550","1,074,727","545,963","528,764","382,967","199,161","183,806","367,807","188,153","179,654","1,179,724","597,781","581,943","115,698","57,540","58,158","478,798","248,675","230,123","81,879","43,201","38,678","619,279","314,769","304,510","2,790,087","1,441,775","1,348,312","349,704","179,821","169,883","66,635","34,828","31,807","822,718","424,968","397,750","657,042","339,744","317,298","163,104","84,496","78,608","557,891","283,145","274,746","53,553","27,402","26,151","336,708","172,916","163,792"
    Less than high school graduate,"63,810","37,085","26,725","10,416","6,421","3,995","109,734","62,385","47,349","38,290","21,759","16,531","399,555","242,202","157,353","59,021","34,499","24,522","37,246","23,118","14,128","10,012","5,876","4,136","7,345","5,323","2,022","268,822","157,323","111,499","156,032","92,030","64,002","8,019","5,313","2,706","23,129","13,464","9,665","155,690","92,400","63,290","98,612","57,317","41,295","33,800","20,686","13,114","35,316","20,828","14,488","48,730","27,504","21,226","81,544","49,266","32,278","12,671","7,897","4,774","56,430","32,267","24,163","76,449","43,590","32,859","119,587","68,215","51,372","60,244","35,782","24,462","47,970","30,202","17,768","69,061","39,863","29,198","11,805","6,001","5,804","18,896","10,934","7,962","37,432","20,334","17,098","12,260","8,433","3,827","85,464","48,770","36,694","36,365","20,197","16,168","212,967","126,246","86,721","133,754","76,837","56,917","7,269","4,424","2,845","140,371","78,039","62,332","58,141","35,391","22,750","55,844","33,907","21,937","141,464","83,226","58,238","9,656","5,287","4,369","62,143","36,150","25,993","11,646","6,517","5,129","76,587","45,697","30,890","417,459","239,798","177,661","35,852","20,698","15,154","6,715","3,855","2,860","79,532","46,434","33,098","91,816","54,752","37,064","20,272","10,935","9,337","60,439","34,488","25,951","7,453","3,914","3,539","32,877","21,030","11,847"
    High school graduate (includes equivalency),"161,311","90,367","70,944","27,892","17,448","10,444","226,131","121,360","104,771","98,609","53,799","44,810","1,174,092","658,875","515,217","168,994","95,244","73,750","99,162","56,466","42,696","28,306","14,783","13,523","17,008","8,905","8,103","547,776","312,989","234,787","349,387","193,321","156,066","50,218","30,181","20,037","58,025","33,331","24,694","350,882","193,849","157,033","220,384","120,850","99,534","91,121","53,201","37,920","86,136","49,935","36,201","158,218","93,765","64,453","148,185","82,918","65,267","36,781","19,533","17,248","167,249","98,106","69,143","185,337","103,950","81,387","305,104","171,047","134,057","138,410","78,463","59,947","95,371","52,860","42,511","189,900","113,451","76,449","37,224","21,532","15,692","54,651","30,735","23,916","101,302","58,240","43,062","41,149","22,264","18,885","227,024","125,110","101,914","67,560","39,836","27,724","492,130","270,656","221,474","303,646","181,497","122,149","27,522","18,021","9,501","365,448","202,397","163,051","130,899","74,353","56,546","116,824","65,007","51,817","399,453","224,567","174,886","37,279","19,667","17,612","159,895","88,943","70,952","23,449","13,216","10,233","219,736","125,205","94,531","926,602","523,988","402,614","110,535","63,718","46,817","22,479","13,695","8,784","253,857","144,447","109,410","206,590","118,768","87,822","64,420","38,063","26,357","182,070","100,428","81,642","20,471","11,598","8,873","94,743","56,332","38,411"
    Some college or associate's degree,"214,751","95,174","119,577","29,966","14,835","15,131","285,153","142,696","142,457","127,968","61,138","66,830","1,823,319","887,559","935,760","229,538","117,094","112,444","155,566","75,015","80,551","38,035","17,880","20,155","33,178","13,070","20,108","783,886","371,789","412,097","419,969","195,944","224,025","55,144","28,557","26,587","69,886","35,381","34,505","540,668","257,551","283,117","271,584","130,392","141,192","159,564","77,372","82,192","143,072","70,871","72,201","176,417","82,528","93,889","189,398","87,441","101,957","49,653","23,605","26,048","241,383","111,691","129,692","311,940","146,356","165,584","440,245","213,103","227,142","230,024","114,466","115,558","144,532","67,028","77,504","256,110","118,029","138,081","38,823","18,929","19,894","91,888","44,971","46,917","97,793","45,392","52,401","56,930","26,174","30,756","349,779","177,223","172,556","90,653","42,563","48,090","852,254","418,226","434,028","446,194","214,537","231,657","39,453","19,754","19,699","461,286","219,524","241,762","165,963","77,306","88,657","163,659","75,545","88,114","485,428","225,154","260,274","56,409","27,044","29,365","213,744","105,244","108,500","37,080","19,519","17,561","263,904","120,312","143,592","1,205,734","574,215","631,519","180,021","88,297","91,724","29,435","14,205","15,230","379,272","188,418","190,854","285,228","138,350","146,878","67,419","31,306","36,113","254,218","123,124","131,094","22,127","10,545","11,582","180,862","85,434","95,428"
    Bachelor's degree or higher,"31,207","12,032","19,175","4,779","2,406","2,373","51,162","22,604","28,558","22,581","8,899","13,682","403,028","170,816","232,212","65,174","26,963","38,211","60,078","25,137","34,941","7,587","3,503","4,084","17,229","6,811","10,418","162,959","68,118","94,841","93,200","37,948","55,252","10,416","4,695","5,721","10,830","3,863","6,967","152,636","68,310","84,326","66,890","28,260","38,630","36,967","16,115","20,852","31,496","12,291","19,205","37,267","15,022","22,245","35,687","13,607","22,080","10,860","5,508","5,352","72,561","32,579","39,982","126,936","55,329","71,607","102,204","43,310","58,894","71,730","27,806","43,924","22,333","8,597","13,736","60,525","24,323","36,202","9,080","4,476","4,604","20,790","9,449","11,341","14,375","5,371","9,004","16,256","8,004","8,252","130,043","54,814","75,229","12,295","5,426","6,869","317,419","133,562","183,857","97,450","39,564","57,886","12,109","4,604","7,505","107,622","46,003","61,619","27,964","12,111","15,853","31,480","13,694","17,786","153,379","64,834","88,545","12,354","5,542","6,812","43,016","18,338","24,678","9,704","3,949","5,755","59,052","23,555","35,497","240,292","103,774","136,518","23,296","7,108","16,188","8,006","3,073","4,933","110,057","45,669","64,388","73,408","27,874","45,534","10,993","4,192","6,801","61,164","25,105","36,059","3,502","1,345","2,157","28,226","10,120","18,106"
Population 25 years and over,"3,309,607","1,565,244","1,744,363","481,561","250,605","230,956","4,711,362","2,306,351","2,405,011","2,008,398","968,413","1,039,985","26,679,273","13,058,109","13,621,164","3,822,068","1,898,797","1,923,271","2,493,854","1,190,675","1,303,179","673,686","319,385","354,301","494,614","232,163","262,451","15,020,177","7,204,003","7,816,174","6,896,026","3,272,064","3,623,962","997,744","490,056","507,688","1,111,788","548,879","562,909","8,707,057","4,203,875","4,503,182","4,435,317","2,138,329","2,296,988","2,093,909","1,021,693","1,072,216","1,904,528","932,690","971,838","3,018,953","1,452,947","1,566,006","3,120,277","1,486,544","1,633,733","971,740","467,767","503,973","4,167,604","1,972,491","2,195,113","4,788,573","2,281,288","2,507,285","6,819,310","3,296,886","3,522,424","3,778,416","1,859,930","1,918,486","1,959,341","920,497","1,038,844","4,150,275","1,993,985","2,156,290","723,666","359,169","364,497","1,259,254","619,219","640,035","2,063,180","1,025,274","1,037,906","958,005","467,449","490,556","6,234,538","2,980,708","3,253,830","1,391,475","677,505","713,970","13,821,132","6,566,617","7,254,515","6,991,185","3,308,297","3,682,888","495,904","252,434","243,470","7,981,885","3,831,440","4,150,445","2,586,414","1,254,892","1,331,522","2,901,195","1,417,459","1,483,736","8,960,842","4,308,022","4,652,820","736,969","350,267","386,702","3,443,851","1,626,956","1,816,895","574,559","286,447","288,112","4,588,453","2,191,574","2,396,879","18,149,346","8,857,031","9,292,315","1,827,035","906,645","920,390","439,267","212,171","227,096","5,779,221","2,785,654","2,993,567","5,101,968","2,519,954","2,582,014","1,279,350","621,077","658,273","3,958,231","1,945,066","2,013,165","387,700","196,810","190,890","2,343,675","1,073,727","1,269,948"
Less than 9th grade,"137,386","71,748","65,638","14,246","6,031","8,215","254,700","132,383","122,317","92,735","49,256","43,479","2,459,993","1,150,285","1,309,708","129,351","66,752","62,599","102,064","52,642","49,422","23,460","12,354","11,106","21,119","11,119","10,000","710,891","356,399","354,492","313,025","162,047","150,978","34,495","12,871","21,624","36,681","18,879","17,802","424,494","208,726","215,768","161,138","83,021","78,117","65,578","32,926","32,652","66,505","35,258","31,247","164,235","85,926","78,309","152,771","81,791","70,980","25,574","14,996","10,578","165,505","86,115","79,390","207,140","93,928","113,212","192,884","98,288","94,596","114,437","55,574","58,863","94,490","51,647","42,843","129,072","65,630","63,442","16,155","9,473","6,682","48,755","24,447","24,308","107,354","53,286","54,068","18,164","10,292","7,872","298,109","140,261","157,848","80,805","39,828","40,977","842,286","391,317","450,969","314,734","166,453","148,281","13,936","7,959","5,977","218,232","111,943","106,289","104,975","57,841","47,134","102,453","52,951","49,502","283,386","141,466","141,920","37,301","17,714","19,587","139,309","73,641","65,668","16,831","8,697","8,134","200,536","107,074","93,462","1,473,004","728,038","744,966","50,122","26,170","23,952","9,646","5,176","4,470","240,260","125,602","114,658","189,334","90,703","98,631","58,192","32,454","25,738","101,506","52,997","48,509","7,704","4,594","3,110","370,702","179,489","191,213"
"9th to 12th grade, no diploma","309,557","155,237","154,320","25,790","14,647","11,143","350,198","182,307","167,891","174,807","90,762","84,045","1,989,309","1,044,728","944,581","190,285","99,503","90,782","137,225","71,929","65,296","40,091","22,988","17,103","27,212","12,718","14,494","1,035,042","529,274","505,768","580,411","304,175","276,236","42,636","21,514","21,122","65,058","36,376","28,682","525,386","280,398","244,988","343,724","177,700","166,024","100,027","54,399","45,628","104,758","55,807","48,951","248,251","132,170","116,081","311,048","165,577","145,471","49,213","29,250","19,963","254,504","129,756","124,748","235,318","121,768","113,550","427,082","224,504","202,578","147,197","81,705","65,492","211,478","109,220","102,258","298,467","153,634","144,833","34,574","18,356","16,218","60,668","32,147","28,521","165,663","83,989","81,674","48,396","25,237","23,159","330,076","166,181","163,895","112,760","59,400","53,360","1,012,659","516,788","495,871","539,055","290,885","248,170","21,087","10,292","10,795","559,456","280,185","279,271","204,039","105,858","98,181","159,928","86,806","73,122","560,910","288,956","271,954","48,991","23,632","25,359","295,539","156,588","138,951","30,795","16,613","14,182","359,348","183,941","175,407","1,496,019","786,091","709,928","93,413","49,562","43,851","22,774","15,141","7,633","353,117","179,054","174,063","254,629","138,301","116,328","107,069","55,235","51,834","200,465","112,093","88,372","19,649","10,451","9,198","188,871","104,550","84,321"
    High school graduate (includes equivalency),"1,029,982","509,811","520,171","133,132","80,671","52,461","1,136,493","564,349","572,144","683,285","354,410","328,875","5,541,182","2,804,668","2,736,514","815,595","425,029","390,566","676,911","340,717","336,194","218,309","107,629","110,680","85,033","39,518","45,515","4,330,040","2,117,800","2,212,240","1,936,501","968,901","967,600","280,494","141,943","138,551","313,029","159,834","153,195","2,272,174","1,120,023","1,152,151","1,450,767","723,346","727,421","639,230","330,875","308,355","490,769","250,641","240,128","997,060","510,675","486,385","1,061,526","528,014","533,512","300,716","152,120","148,596","1,020,828","517,988","502,840","1,163,526","593,543","569,983","1,969,839","991,579","978,260","938,908","486,120","452,788","595,611","300,708","294,903","1,277,505","649,276","628,229","203,141","108,584","94,557","331,081","171,892","159,189","592,846","301,305","291,541","268,564","143,036","125,528","1,696,858","817,276","879,582","370,599","191,417","179,182","3,634,065","1,799,580","1,834,485","1,800,555","904,571","895,984","130,900","72,604","58,296","2,661,209","1,319,887","1,341,322","804,245","407,886","396,359","673,810","347,265","326,545","3,134,497","1,534,639","1,599,858","220,613","112,724","107,889","1,016,072","496,855","519,217","176,709","94,462","82,247","1,488,080","742,070","746,010","4,552,676","2,296,264","2,256,412","408,078","193,125","214,953","127,426","69,470","57,956","1,396,487","710,802","685,685","1,128,284","580,676","547,608","526,652","272,947","253,705","1,214,914","625,258","589,656","114,739","63,642","51,097","653,789","335,011","318,778"
