Label,Alaska_Count,Alaska_Male,Alaska_Female,Maine_Count,Maine_Male,Maine_Female,North Carolina_Count,North Carolina_Male,North Carolina_Female,Missouri_Count,Missouri_Male,Missouri_Female,Pennsylvania_Count,Pennsylvania_Male,Pennsylvania_Female,Michigan_Count,Michigan_Male,Michigan_Female,Nebraska_Count,Nebraska_Male,Nebraska_Female,Oregon_Count,Oregon_Male,Oregon_Female,Wyoming_Count,Wyoming_Male,Wyoming_Female,California_Count,California_Male,California_Female,Mississippi_Count,Mississippi_Male,Mississippi_Female,Connecticut_Count,Connecticut_Male,Connecticut_Female,Texas_Count,Texas_Male,Texas_Female,Idaho_Count,Idaho_Male,Idaho_Female,Maryland_Count,Maryland_Male,Maryland_Female,New Mexico_Count,New Mexico_Male,New Mexico_Female,Alabama_Count,Alabama_Male,Alabama_Female,Tennessee_Count,Tennessee_Male,Tennessee_Female,Vermont_Count,Vermont_Male,Vermont_Female,Nevada_Count,Nevada_Male,Nevada_Female,West Virginia_Count,West Virginia_Male,West Virginia_Female,Oklahoma_Count,Oklahoma_Male,Oklahoma_Female,Wisconsin_Count,Wisconsin_Male,Wisconsin_Female,Puerto Rico_Count,Puerto Rico_Male,Puerto Rico_Female,Kansas_Count,Kansas_Male,Kansas_Female,Virginia_Count,Virginia_Male,Virginia_Female,North Dakota_Count,North Dakota_Male,North Dakota_Female,New Jersey_Count,New Jersey_Male,New Jersey_Female,Ohio_Count,Ohio_Male,Ohio_Female,South Carolina_Count,South Carolina_Male,South Carolina_Female,Georgia_Count,Georgia_Male,Georgia_Female,Colorado_Count,Colorado_Male,Colorado_Female,Hawaii_Count,Hawaii_Male,Hawaii_Female,South Dakota_Count,South Dakota_Male,South Dakota_Female,Indiana_Count,Indiana_Male,Indiana_Female,Kentucky_Count,Kentucky_Male,Kentucky_Female,Louisiana_Count,Louisiana_Male,Louisiana_Female,Washington_Count,Washington_Male,Washington_Female,Illinois_Count,Illinois_Male,Illinois_Female,Iowa_Count,Iowa_Male,Iowa_Female,New Hampshire_Count,New Hampshire_Male,New Hampshire_Female,Rhode Island_Count,Rhode Island_Male,Rhode Island_Female,Arkansas_Count,Arkansas_Male,Arkansas_Female,Delaware_Count,Delaware_Male,Delaware_Female,Minnesota_Count,Minnesota_Male,Minnesota_Female,Montana_Count,Montana_Male,Montana_Female,Arizona_Count,Arizona_Male,Arizona_Female,Florida_Count,Florida_Male,Florida_Female,Massachusetts_Count,Massachusetts_Male,Massachusetts_Female,District of Columbia_Count,District of Columbia_Male,District of Columbia_Female,Utah_Count,Utah_Male,Utah_Female,New York_Count,New York_Male,New York_Female
AGE BY EDUCATIONAL ATTAINMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population 18 to 24 years,"68,625","38,142","30,483","106,470","54,528","51,942","984,618","508,351","476,267","565,939","288,461","277,478","1,164,816","591,259","573,557","961,804","491,133","470,671","187,942","94,834","93,108","365,745","186,850","178,895","51,505","25,888","25,617","3,755,863","1,932,547","1,823,316","303,525","156,232","147,293","344,203","176,030","168,173","2,825,264","1,459,669","1,365,595","165,091","85,694","79,397","537,024","271,712","265,312","198,710","102,480","96,230","461,302","233,872","227,430","619,812","312,786","307,026","64,948","33,753","31,195","248,598","126,657","121,941","161,826","84,385","77,441","379,146","197,382","181,764","549,441","280,256","269,185","313,113","159,379","153,734","294,933","154,845","140,088","826,038","424,848","401,190","84,584","44,990","39,594","768,272","391,648","376,624","1,071,971","547,666","524,305","487,363","254,712","232,651","1,038,010","523,561","514,449","528,539","274,604","253,935","121,647","66,696","54,951","84,922","42,257","42,665","656,928","338,386","318,542","421,207","217,156","204,051","436,660","221,859","214,801","658,589","342,891","315,698","1,178,902","601,191","577,711","317,964","162,113","155,851","127,582","64,798","62,784","112,712","55,690","57,022","287,926","148,788","139,138","84,321","42,592","41,729","499,903","254,394","245,509","96,579","52,199","44,380","689,343","356,504","332,839","1,769,325","911,588","857,737","702,295","349,030","353,265","75,065","34,248","40,817","357,372","183,107","174,265","1,805,181","904,485","900,696"
        Less than high school graduate,"7,863","4,517","3,346","11,124","6,210","4,914","125,413","74,985","50,428","70,184","39,182","31,002","138,423","79,203","59,220","119,326","72,035","47,291","20,380","11,405","8,975","48,987","29,072","19,915","8,383","3,714","4,669","390,520","228,000","162,520","43,283","24,370","18,913","34,216","22,102","12,114","407,231","230,582","176,649","25,257","14,710","10,547","57,249","33,981","23,268","35,131","20,522","14,609","61,166","34,408","26,758","76,729","45,605","31,124","4,987","3,290","1,697","38,971","20,511","18,460","21,099","10,790","10,309","60,112","35,625","24,487","59,092","34,579","24,513","28,022","17,192","10,830","31,457","18,686","12,771","85,714","49,661","36,053","5,476","3,719","1,757","81,481","48,200","33,281","138,294","79,509","58,785","64,872","38,477","26,395","159,213","96,044","63,169","67,044","39,117","27,927","10,207","5,966","4,241","12,103","6,758","5,345","101,702","58,687","43,015","49,982","29,317","20,665","72,976","44,981","27,995","86,292","49,939","36,353","136,767","79,296","57,471","35,433","20,623","14,810","11,694","5,998","5,696","9,765","5,636","4,129","34,446","18,930","15,516","11,122","6,032","5,090","60,703","35,854","24,849","12,953","7,231","5,722","105,767","60,220","45,547","268,866","161,450","107,416","74,308","43,696","30,612","6,161","3,512","2,649","40,749","24,547","16,202","198,475","113,787","84,688"
        High school graduate (includes equivalency),"31,355","18,021","13,334","37,966","22,208","15,758","310,896","181,823","129,073","177,159","100,588","76,571","413,608","228,332","185,276","299,460","161,638","137,822","56,356","30,397","25,959","116,892","66,942","49,950","18,836","10,674","8,162","1,146,258","643,676","502,582","87,244","53,707","33,537","101,840","56,273","45,567","967,913","533,919","433,994","59,498","36,104","23,394","167,870","93,127","74,743","62,919","35,410","27,509","161,286","92,087","69,199","215,102","111,847","103,255","22,568","13,243","9,325","102,820","57,015","45,805","60,694","36,256","24,438","131,449","71,981","59,468","172,028","96,360","75,668","84,923","48,781","36,142","88,959","50,071","38,888","265,174","152,017","113,157","23,147","13,977","9,170","220,196","123,143","97,053","370,760","205,835","164,925","162,488","94,820","67,668","338,114","189,699","148,415","170,032","97,703","72,329","46,510","29,912","16,598","25,306","14,226","11,080","212,740","116,898","95,842","158,614","91,051","67,563","154,813","84,288","70,525","206,783","122,641","84,142","355,452","191,846","163,606","87,669","47,983","39,686","44,629","24,199","20,430","36,940","21,269","15,671","107,370","61,540","45,830","29,330","16,028","13,302","142,615","82,294","60,321","32,317","19,202","13,115","230,722","125,103","105,619","569,001","312,151","256,850","190,116","103,913","86,203","23,886","11,535","12,351","110,825","62,906","47,919","490,266","264,818","225,448"
        Some college or associate's degree,"25,547","13,587","11,960","45,031","21,092","23,939","437,468","207,438","230,030","258,949","122,256","136,693","458,536","216,561","241,975","435,811","209,898","225,913","86,365","43,137","43,228","162,533","75,426","87,107","20,331","9,337","10,994","1,786,551","877,183","909,368","152,271","69,115","83,156","152,349","73,435","78,914","1,193,882","590,698","603,184","68,606","30,650","37,956","234,344","112,024","122,320","88,342","41,338","47,004","202,178","92,328","109,850","264,531","129,066","135,465","28,631","13,359","15,272","92,905","43,076","49,829","65,502","30,693","34,809","159,987","78,099","81,888","250,259","121,646","128,613","169,807","83,129","86,678","141,742","71,817","69,925","363,726","176,871","186,855","47,660","24,359","23,301","329,304","160,646","168,658","446,572","214,502","232,070","217,001","104,644","112,357","435,966","192,866","243,100","215,687","106,381","109,306","54,314","26,709","27,605","38,299","18,263","20,036","274,898","132,982","141,916","175,234","80,698","94,536","176,575","78,404","98,171","288,532","136,690","151,842","511,942","250,848","261,094","155,638","75,475","80,163","53,217","26,291","26,926","49,464","21,964","27,500","123,854","60,111","63,743","36,416","16,888","19,528","225,699","107,798","117,901","40,433","21,406","19,027","293,894","144,587","149,307","762,798","368,958","393,840","306,185","143,807","162,378","26,618","11,749","14,869","180,457","86,775","93,682","811,447","397,752","413,695"
        Bachelor's degree or higher,"3,860","2,017","1,843","12,349","5,018","7,331","110,841","44,105","66,736","59,647","26,435","33,212","154,249","67,163","87,086","107,207","47,562","59,645","24,841","9,895","14,946","37,333","15,410","21,923","3,955","2,163","1,792","432,534","183,688","248,846","20,727","9,040","11,687","55,798","24,220","31,578","256,238","104,470","151,768","11,730","4,230","7,500","77,561","32,580","44,981","12,318","5,210","7,108","36,672","15,049","21,623","63,450","26,268","37,182","8,762","3,861","4,901","13,902","6,055","7,847","14,531","6,646","7,885","27,598","11,677","15,921","68,062","27,671","40,391","30,361","10,277","20,084","32,775","14,271","18,504","111,424","46,299","65,125","8,301","2,935","5,366","137,291","59,659","77,632","116,345","47,820","68,525","43,002","16,771","26,231","104,717","44,952","59,765","75,776","31,403","44,373","10,616","4,109","6,507","9,214","3,010","6,204","67,588","29,819","37,769","37,377","16,090","21,287","32,296","14,186","18,110","76,982","33,621","43,361","174,741","79,201","95,540","39,224","18,032","21,192","18,042","8,310","9,732","16,543","6,821","9,722","22,256","8,207","14,049","7,453","3,644","3,809","70,886","28,448","42,438","10,876","4,360","6,516","58,960","26,594","32,366","168,660","69,029","99,631","131,686","57,614","74,072","18,400","7,452","10,948","25,341","8,879","16,462","304,993","128,128","176,865"
Population 25 years and over,"485,353","251,624","233,729","983,382","472,810","510,572","7,102,144","3,366,816","3,735,328","4,182,787","2,009,630","2,173,157","8,994,627","4,328,215","4,666,412","6,869,846","3,326,330","3,543,516","1,266,440","623,021","643,419","2,952,380","1,445,212","1,507,168","393,136","198,787","194,349","26,815,644","13,141,640","13,674,004","1,977,283","929,548","1,047,735","2,493,396","1,191,108","1,302,288","18,477,097","9,014,102","9,462,995","1,143,747","566,560","577,187","4,167,339","1,974,289","2,193,050","1,416,481","690,821","725,660","3,337,464","1,571,364","1,766,100","4,640,823","2,214,619","2,426,204","445,824","215,424","230,400","2,096,574","1,042,413","1,054,161","1,280,781","622,654","658,127","2,607,613","1,265,096","1,342,517","3,992,022","1,959,818","2,032,204","2,288,030","1,056,179","1,231,851","1,911,426","935,944","975,482","5,822,007","2,807,409","3,014,598","500,779","254,934","245,845","6,189,243","2,965,997","3,223,246","8,027,035","3,857,929","4,169,106","3,492,355","1,644,890","1,847,465","6,978,172","3,311,965","3,666,207","3,900,287","1,940,826","1,959,461","995,589","489,591","505,998","582,850","292,108","290,742","4,467,893","2,155,530","2,312,363","3,039,414","1,463,890","1,575,524","3,125,733","1,491,136","1,634,597","5,215,063","2,577,469","2,637,594","8,706,376","4,200,750","4,505,626","2,104,792","1,026,001","1,078,791","970,748","474,752","495,996","740,695","354,634","386,061","2,021,939","970,195","1,051,744","679,700","322,589","357,111","3,809,229","1,872,613","1,936,616","735,761","364,352","371,409","4,840,304","2,369,834","2,470,470","15,302,125","7,335,396","7,966,729","4,832,728","2,303,734","2,528,994","500,176","234,904","265,272","1,871,902","930,797","941,105","13,672,343","6,507,052","7,165,291"
Less than 9th grade,"12,023","6,577","5,446","25,361","13,140","12,221","305,097","168,331","136,766","119,915","58,823","61,092","279,306","135,358","143,948","189,891","96,942","92,949","47,660","26,757","20,903","106,364","57,281","49,083","7,237","3,789","3,448","2,396,226","1,135,174","1,261,052","100,599","54,386","46,213","97,719","47,434","50,285","1,478,739","739,042","739,697","40,692","21,077","19,615","155,580","75,989","79,591","84,348","45,073","39,275","131,592","63,290","68,302","206,601","104,386","102,215","8,286","5,259","3,027","110,045","52,956","57,089","50,504","29,193","21,311","98,813","54,014","44,799","108,021","54,314","53,707","336,242","163,147","173,095","70,905","37,034","33,871","229,799","121,597","108,202","16,988","8,114","8,874","290,326","145,655","144,671","218,264","106,769","111,495","125,417","66,314","59,103","308,720","159,685","149,035","127,663","63,459","64,204","38,532","15,131","23,401","16,315","8,365","7,950","164,472","85,167","79,305","160,136","85,119","75,017","146,205","78,258","67,947","179,951","88,608","91,343","403,880","196,940","206,940","64,952","32,569","32,383","23,689","11,620","12,069","34,642","17,588","17,054","92,515","47,559","44,956","26,223","11,822","14,401","101,742","48,889","52,853","13,375","6,783","6,592","256,545","126,376","130,169","708,872","349,686","359,186","211,206","100,874","110,332","16,534","8,061","8,473","47,361","22,818","24,543","827,890","386,441","441,449"
"9th to 12th grade, no diploma","20,421","11,099","9,322","43,100","23,530","19,570","529,783","284,981","244,802","278,462","140,326","138,136","532,792","271,994","260,798","422,533","222,782","199,751","60,686","32,549","28,137","173,561","97,285","76,276","19,072","9,810","9,262","1,958,791","1,025,172","933,619","187,996","102,335","85,661","128,535","69,571","58,964","1,485,230","761,646","723,584","63,176","35,144","28,032","240,551","128,509","112,042","122,340","64,809","57,531","316,587","167,706","148,881","358,348","182,586","175,762","20,617","12,222","8,395","164,010","84,408","79,602","106,081","55,210","50,871","202,447","105,683","96,764","207,198","117,497","89,701","178,663","97,199","81,464","101,128","55,465","45,663","358,586","187,966","170,620","21,520","12,172","9,348","317,170","155,704","161,466","528,136","272,350","255,786","278,074","144,933","133,141","557,379","290,982","266,397","189,453","100,131","89,322","41,547","21,787","19,760","28,842","14,461","14,381","327,362","169,178","158,184","240,928","125,451","115,477","296,354","158,944","137,410","257,533","140,523","117,010","510,902","275,373","235,529","97,697","52,289","45,408","42,821","24,759","18,062","45,944","23,782","22,162","166,471","84,689","81,782","42,858","23,151","19,707","151,063","88,361","62,702","31,704","18,000","13,704","349,389","177,041","172,348","1,052,860","545,203","507,657","235,098","119,490","115,608","23,094","10,624","12,470","94,721","50,965","43,756","929,474","467,360","462,114"
        High school graduate (includes equivalency),"137,293","77,866","59,427","309,259","163,367","145,892","1,802,360","904,983","897,377","1,270,247","646,124","624,123","3,113,998","1,539,267","1,574,731","1,972,855","996,651","976,204","326,400","165,671","160,729","655,811","331,771","324,040","113,351","64,255","49,096","5,559,362","2,839,833","2,719,529","589,363","294,960","294,403","669,967","338,197","331,770","4,627,856","2,323,692","2,304,164","318,218","163,529","154,689","1,009,495","501,534","507,961","370,023","186,385","183,638","1,026,976","511,616","515,360","1,477,132","742,404","734,728","127,349","66,944","60,405","581,662","290,310","291,352","508,339","256,272","252,067","816,934","415,320","401,614","1,222,475","632,343","590,132","644,702","329,059","315,643","485,753","248,521","237,232","1,398,061","705,353","692,708","129,495","72,385","57,110","1,629,398","787,893","841,505","2,625,971","1,316,266","1,309,705","1,043,630","509,026","534,604","1,942,122","975,358","966,764","812,615","425,308","387,307","266,728","139,293","127,435","180,511","97,498","83,013","1,480,040","749,035","731,005","990,911","506,001","484,910","1,071,772","533,086","538,686","1,133,822","583,604","550,218","2,269,285","1,144,832","1,124,453","649,269","334,869","314,400","269,202","138,780","130,422","210,606","104,582","106,024","686,867","353,105","333,762","225,797","111,384","114,413","921,287","476,648","444,639","205,496","110,437","95,059","1,159,297","583,337","575,960","4,387,954","2,137,685","2,250,269","1,126,183","576,356","549,827","82,900","38,206","44,694","423,407","204,451","218,956","3,546,789","1,759,471","1,787,318"
