Label,Alabama_Count ,Alabama_Male ,Alabama_Female ,Alaska_Count ,Alaska_Male ,Alaska_Female ,Arizona_Count ,Arizona_Male ,Arizona_Female ,Arkansas_Count ,Arkansas_Male ,Arkansas_Female ,California_Count ,California_Male ,California_Female ,Colorado_Count ,Colorado_Male ,Colorado_Female ,Connecticut_Count ,Connecticut_Male ,Connecticut_Female ,Delaware_Count ,Delaware_Male ,Delaware_Female ,District of Columbia_Count ,District of Columbia_Male ,District of Columbia_Female ,Florida_Count ,Florida_Male ,Florida_Female ,Georgia_Count ,Georgia_Male ,Georgia_Female ,Hawaii_Count ,Hawaii_Male ,Hawaii_Female ,Idaho_Count ,Idaho_Male ,Idaho_Female ,Illinois_Count ,Illinois_Male ,Illinois_Female ,Indiana_Count ,Indiana_Male ,Indiana_Female ,Iowa_Count ,Iowa_Male ,Iowa_Female ,Kansas_Count ,Kansas_Male ,Kansas_Female ,Kentucky_Count ,Kentucky_Male ,Kentucky_Female ,Louisiana_Count ,Louisiana_Male ,Louisiana_Female ,Maine_Count ,Maine_Male ,Maine_Female ,Maryland_Count ,Maryland_Male ,Maryland_Female ,Massachusetts_Count ,Massachusetts_Male ,Massachusetts_Female ,Michigan_Count ,Michigan_Male ,Michigan_Female ,Minnesota_Count ,Minnesota_Male ,Minnesota_Female ,Mississippi_Count ,Mississippi_Male ,Mississippi_Female ,Missouri_Count ,Missouri_Male ,Missouri_Female ,Montana_Count ,Montana_Male ,Montana_Female ,Nebraska_Count ,Nebraska_Male ,Nebraska_Female ,Nevada_Count ,Nevada_Male ,Nevada_Female ,New Hampshire_Count ,New Hampshire_Male ,New Hampshire_Female ,New Jersey_Count ,New Jersey_Male ,New Jersey_Female ,New Mexico_Count ,New Mexico_Male ,New Mexico_Female ,New York_Count ,New York_Male ,New York_Female ,North Carolina_Count ,North Carolina_Male ,North Carolina_Female ,North Dakota_Count ,North Dakota_Male ,North Dakota_Female ,Ohio_Count ,Ohio_Male ,Ohio_Female ,Oklahoma_Count ,Oklahoma_Male ,Oklahoma_Female ,Oregon_Count ,Oregon_Male ,Oregon_Female ,Pennsylvania_Count ,Pennsylvania_Male ,Pennsylvania_Female ,Rhode Island_Count ,Rhode Island_Male ,Rhode Island_Female ,South Carolina_Count ,South Carolina_Male ,South Carolina_Female ,South Dakota_Count ,South Dakota_Male ,South Dakota_Female ,Tennessee_Count ,Tennessee_Male ,Tennessee_Female ,Texas_Count ,Texas_Male ,Texas_Female ,Utah_Count ,Utah_Male ,Utah_Female ,Vermont_Count ,Vermont_Male ,Vermont_Female ,Virginia_Count ,Virginia_Male ,Virginia_Female ,Washington_Count ,Washington_Male ,Washington_Female ,West Virginia_Count ,West Virginia_Male ,West Virginia_Female ,Wisconsin_Count ,Wisconsin_Male ,Wisconsin_Female ,Wyoming_Count ,Wyoming_Male ,Wyoming_Female ,Puerto Rico_Count ,Puerto Rico_Male ,Puerto Rico_Female ,United States_Count ,United States_Male ,United States_Female 
AGE BY EDUCATIONAL ATTAINMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population 18 to 24 years,"457,530","226,648","230,882","67,738","38,590","29,148","694,529","358,615","335,914","282,336","143,823","138,513","3,683,287","1,892,089","1,791,198","527,473","276,668","250,805","341,435","175,253","166,182","82,507","41,205","41,302","72,703","32,626","40,077","1,761,280","899,157","862,123","1,034,172","526,462","507,710","119,017","64,699","54,318","166,713","87,552","79,161","1,162,448","592,415","570,033","662,783","339,191","323,592","310,236","159,654","150,582","294,932","155,516","139,416","417,406","214,700","202,706","423,707","218,694","205,013","106,707","55,096","51,611","529,535","270,564","258,971","690,150","342,003","348,147","949,408","482,622","466,786","489,751","246,645","243,106","298,065","154,423","143,642","558,571","284,272","274,299","100,304","52,797","47,507","187,542","97,507","90,035","252,953","130,356","122,597","123,941","63,146","60,795","752,937","384,941","367,996","196,991","103,242","93,749","1,766,731","887,762","878,969","1,007,035","523,770","483,265","80,981","43,666","37,315","1,064,448","540,867","523,581","385,498","201,144","184,354","366,803","187,915","178,888","1,141,628","578,590","563,038","108,834","54,707","54,127","473,210","244,616","228,594","81,361","42,660","38,701","624,460","316,085","308,375","2,826,700","1,453,253","1,373,447","364,058","185,286","178,772","64,872","32,591","32,281","805,157","421,005","384,152","661,604","345,706","315,898","152,243","78,545","73,698","543,737","278,165","265,572","54,723","28,750","25,973","319,225","160,974","158,251","30,373,170","15,556,254","14,816,916"
        Less than high school graduate,"56,454","33,366","23,088","8,447","5,646","2,801","100,988","59,177","41,811","33,273","18,968","14,305","367,782","213,693","154,089","65,561","38,826","26,735","35,160","22,564","12,596","9,213","5,615","3,598","3,199","2,193","1,006","252,646","153,127","99,519","155,073","90,420","64,653","8,763","4,984","3,779","19,949","11,364","8,585","135,800","74,598","61,202","93,856","54,968","38,888","32,235","19,322","12,913","33,877","20,065","13,812","50,880","30,124","20,756","66,931","41,398","25,533","11,544","6,515","5,029","62,629","37,361","25,268","63,372","35,395","27,977","120,199","69,196","51,003","59,209","31,850","27,359","44,711","26,244","18,467","63,265","37,384","25,881","14,052","7,766","6,286","17,267","10,799","6,468","34,329","20,158","14,171","14,015","7,545","6,470","71,642","40,707","30,935","30,540","19,115","11,425","181,143","106,179","74,964","121,314","71,893","49,421","7,468","4,559","2,909","136,190","73,966","62,224","55,594","31,784","23,810","48,660","29,504","19,156","136,905","76,969","59,936","10,138","6,971","3,167","59,844","37,084","22,760","11,216","6,190","5,026","67,988","38,935","29,053","392,086","222,906","169,180","38,891","22,700","16,191","5,163","2,884","2,279","78,034","43,104","34,930","93,644","53,609","40,035","18,690","10,450","8,240","55,999","32,969","23,030","6,252","3,656","2,596","28,658","17,146","11,512","3,662,080","2,126,765","1,535,315"
        High school graduate (includes equivalency),"158,761","85,196","73,565","27,173","15,718","11,455","246,748","136,413","110,335","97,402","54,261","43,141","1,151,214","647,649","503,565","167,955","92,935","75,020","102,175","57,891","44,284","26,864","15,862","11,002","19,034","9,479","9,555","565,965","320,492","245,473","355,413","202,779","152,634","51,471","31,748","19,723","62,538","35,511","27,027","342,491","191,794","150,697","235,436","130,103","105,333","91,070","53,002","38,068","92,290","54,101","38,189","154,324","90,022","64,302","148,611","84,163","64,448","36,951","20,636","16,315","161,982","92,772","69,210","186,819","106,613","80,206","308,027","172,969","135,058","144,744","88,218","56,526","84,574","48,081","36,493","188,594","108,851","79,743","35,316","20,719","14,597","54,485","32,863","21,622","106,726","59,677","47,049","39,725","22,518","17,207","220,673","127,169","93,504","71,806","42,256","29,550","498,422","279,381","219,041","320,704","184,055","136,649","21,467","11,690","9,777","379,815","214,605","165,210","136,359","78,986","57,373","114,446","64,043","50,403","398,207","218,969","179,238","35,145","17,976","17,169","166,144","90,996","75,148","27,882","15,416","12,466","216,695","126,779","89,916","977,096","552,752","424,344","120,041","67,924","52,117","21,257","12,711","8,546","273,942","158,680","115,262","217,078","120,876","96,202","59,355","34,251","25,104","181,487","100,801","80,686","18,432","10,449","7,983","84,181","47,118","37,063","9,921,331","5,613,801","4,307,530"
        Some college or associate's degree,"207,319","96,007","111,312","28,997","16,502","12,495","276,860","132,372","144,488","126,196","60,260","65,936","1,736,881","847,136","889,745","221,559","114,486","107,073","147,669","73,343","74,326","38,168","16,667","21,501","33,665","12,984","20,681","755,137","345,233","409,904","420,323","192,247","228,076","48,997","24,303","24,694","71,369","35,757","35,612","512,846","251,646","261,200","262,282","124,208","138,074","155,502","74,570","80,932","137,231","67,692","69,539","171,776","79,883","91,893","172,021","78,495","93,526","44,531","22,580","21,951","219,949","105,310","114,639","305,223","141,816","163,407","411,141","193,082","218,059","211,729","96,441","115,288","148,517","72,358","76,159","241,357","111,854","129,503","41,431","20,844","20,587","88,816","43,495","45,321","95,359","44,059","51,300","54,770","24,856","29,914","320,043","156,992","163,051","79,527","35,647","43,880","762,486","366,482","396,004","456,503","221,385","235,118","41,704","23,383","18,321","440,427","209,615","230,812","160,863","76,414","84,449","164,509","76,266","88,243","452,714","215,082","237,632","49,918","23,267","26,651","202,646","99,178","103,468","33,736","17,360","16,376","268,300","123,082","145,218","1,189,979","563,762","626,217","179,473","88,129","91,344","30,622","12,900","17,722","347,387","174,377","173,010","273,485","137,201","136,284","59,009","27,323","31,686","242,159","117,056","125,103","25,169","12,888","12,281","171,326","82,805","88,521","13,168,280","6,298,275","6,870,005"
        Bachelor's degree or higher,"34,996","12,079","22,917","3,121",724,"2,397","69,933","30,653","39,280","25,465","10,334","15,131","427,410","183,611","243,799","72,398","30,421","41,977","56,431","21,455","34,976","8,262","3,061","5,201","16,805","7,970","8,835","187,532","80,305","107,227","103,363","41,016","62,347","9,786","3,664","6,122","12,857","4,920","7,937","171,311","74,377","96,934","71,209","29,912","41,297","31,429","12,760","18,669","31,534","13,658","17,876","40,426","14,671","25,755","36,144","14,638","21,506","13,681","5,365","8,316","84,975","35,121","49,854","134,736","58,179","76,557","110,041","47,375","62,666","74,069","30,136","43,933","20,263","7,740","12,523","65,355","26,183","39,172","9,505","3,468","6,037","26,974","10,350","16,624","16,539","6,462","10,077","15,431","8,227","7,204","140,579","60,073","80,506","15,118","6,224","8,894","324,680","135,720","188,960","108,514","46,437","62,077","10,342","4,034","6,308","108,016","42,681","65,335","32,682","13,960","18,722","39,188","18,102","21,086","153,802","67,570","86,232","13,633","6,493","7,140","44,576","17,358","27,218","8,527","3,694","4,833","71,477","27,289","44,188","267,539","113,833","153,706","25,653","6,533","19,120","7,830","4,096","3,734","105,794","44,844","60,950","77,397","34,020","43,377","15,189","6,521","8,668","64,092","27,339","36,753","4,870","1,757","3,113","35,060","13,905","21,155","3,621,479","1,517,413","2,104,066"
Population 25 years and over,"3,360,058","1,586,206","1,773,852","484,058","248,666","235,392","4,944,540","2,423,466","2,521,074","2,036,456","975,517","1,060,939","26,937,872","13,208,824","13,729,048","3,974,943","1,982,756","1,992,187","2,496,420","1,195,271","1,301,149","687,311","325,736","361,575","505,145","236,952","268,193","15,484,502","7,435,836","8,048,666","7,080,222","3,352,785","3,727,437","996,668","488,577","508,091","1,170,997","579,656","591,341","8,694,694","4,192,414","4,502,280","4,502,015","2,174,011","2,328,004","2,123,004","1,040,234","1,082,770","1,918,081","935,217","982,864","3,048,442","1,468,976","1,579,466","3,140,201","1,491,097","1,649,104","991,152","475,676","515,476","4,183,858","1,979,022","2,204,836","4,850,576","2,312,900","2,537,676","6,894,627","3,338,285","3,556,342","3,847,212","1,893,200","1,954,012","1,979,664","928,666","1,050,998","4,206,162","2,021,577","2,184,585","741,950","367,446","374,504","1,271,770","624,305","647,465","2,136,466","1,061,616","1,074,850","979,750","479,211","500,539","6,191,229","2,966,074","3,225,155","1,425,988","691,222","734,766","13,664,734","6,500,808","7,163,926","7,187,077","3,398,408","3,788,669","504,375","254,515","249,860","8,049,805","3,870,968","4,178,837","2,619,244","1,269,169","1,350,075","2,988,118","1,459,257","1,528,861","9,028,036","4,346,893","4,681,143","746,952","357,935","389,017","3,563,204","1,678,161","1,885,043","588,029","293,272","294,757","4,693,962","2,238,460","2,455,502","18,772,550","9,165,437","9,607,113","1,911,592","949,043","962,549","445,558","217,725","227,833","5,872,757","2,825,457","3,047,300","5,290,324","2,612,977","2,677,347","1,281,086","624,153","656,933","4,015,285","1,969,678","2,045,607","389,847","197,379","192,468","2,301,735","1,063,370","1,238,365","224,898,568","108,711,092","116,187,476"
Less than 9th grade,"130,320","71,215","59,105","10,424","5,845","4,579","252,459","125,602","126,857","94,376","49,841","44,535","2,346,235","1,111,415","1,234,820","127,702","66,925","60,777","99,132","50,027","49,105","23,925","11,488","12,437","16,459","8,124","8,335","712,764","349,619","363,145","319,929","168,720","151,209","36,278","14,584","21,694","34,969","17,143","17,826","388,348","189,100","199,248","162,057","83,764","78,293","57,894","30,675","27,219","63,799","32,307","31,492","154,759","82,751","72,008","138,644","78,344","60,300","20,783","10,868","9,915","168,321","88,195","80,126","203,412","99,740","103,672","186,035","90,930","95,105","103,730","47,551","56,179","91,377","50,314","41,063","122,379","63,474","58,905","12,087","6,666","5,421","43,627","22,385","21,242","109,903","53,331","56,572","19,331","9,928","9,403","287,999","140,880","147,119","82,436","38,868","43,568","795,539","370,237","425,302","299,154","158,893","140,261","13,284","6,525","6,759","221,017","112,360","108,657","100,954","51,961","48,993","98,217","51,478","46,739","273,775","138,184","135,591","37,697","19,346","18,351","132,646","71,741","60,905","16,462","9,316","7,146","202,493","104,982","97,511","1,436,483","724,394","712,089","46,767","24,164","22,603","9,568","4,829","4,739","222,224","108,758","113,466","187,558","92,016","95,542","53,606","28,246","25,360","98,802","49,553","49,249","6,546","4,067","2,479","320,083","163,917","156,166","10,874,685","5,401,669","5,473,016"
"9th to 12th grade, no diploma","302,753","152,700","150,053","20,666","10,642","10,024","360,539","188,217","172,322","160,617","81,100","79,517","1,955,278","1,030,198","925,080","174,518","90,936","83,582","132,707","70,183","62,524","42,597","24,067","18,530","24,709","13,386","11,323","1,081,871","571,380","510,491","536,096","277,058","259,038","39,700","17,956","21,744","64,937","35,945","28,992","494,289","263,650","230,639","306,026","157,183","148,843","98,587","52,520","46,067","93,958","49,880","44,078","235,894","124,901","110,993","302,200","157,650","144,550","46,531","25,626","20,905","233,831","118,798","115,033","217,529","107,288","110,241","410,252","213,705","196,547","141,960","78,903","63,057","199,540","104,916","94,624","269,436","138,581","130,855","30,595","16,809","13,786","57,645","31,517","26,128","171,012","86,608","84,404","46,341","27,571","18,770","311,620","158,039","153,581","118,892","61,306","57,586","898,691","451,796","446,895","519,770","279,143","240,627","19,735","11,648","8,087","519,830","268,705","251,125","202,312","102,749","99,563","160,182","89,416","70,766","538,057","274,609","263,448","42,510","20,242","22,268","283,032","148,500","134,532","29,832","16,728","13,104","360,324","189,922","170,402","1,445,905","733,467","712,438","86,293","44,780","41,513","21,290","13,413","7,877","362,488","187,372","175,116","252,516","140,490","112,026","111,199","55,605","55,594","192,060","109,800","82,260","14,704","7,657","7,047","168,325","90,070","78,255","14,743,856","7,685,261","7,058,595"
        High school graduate (includes equivalency),"1,039,241","512,181","527,060","139,156","78,101","61,055","1,170,685","593,553","577,132","710,306","362,841","347,465","5,546,711","2,845,945","2,700,766","836,590","438,996","397,594","668,361","329,406","338,955","207,642","98,750","108,892","79,881","36,627","43,254","4,396,122","2,167,938","2,228,184","1,939,945","967,909","972,036","273,421","145,966","127,455","305,274","162,883","142,391","2,255,611","1,133,810","1,121,801","1,526,825","777,020","749,805","658,822","347,951","310,871","504,035","260,089","243,946","1,012,643","525,573","487,070","1,066,026","536,578","529,448","311,108","162,607","148,501","1,030,636","516,202","514,434","1,158,066","590,020","568,046","2,005,981","1,009,979","996,002","939,997","497,978","442,019","598,609","305,725","292,884","1,308,859","667,680","641,179","211,079","109,837","101,242","326,389","167,659","158,730","593,417","303,515","289,902","275,105","144,178","130,927","1,666,321","804,887","861,434","376,390","196,679","179,711","3,524,192","1,748,881","1,775,311","1,839,042","927,213","911,829","134,432","72,697","61,735","2,627,758","1,324,274","1,303,484","825,284","419,818","405,466","687,243","346,700","340,543","3,103,046","1,539,562","1,563,484","212,282","105,478","106,804","1,015,260","496,169","519,091","176,644","93,409","83,235","1,480,753","735,374","745,379","4,734,422","2,382,325","2,352,097","442,206","216,579","225,627","129,254","70,589","58,665","1,387,610","708,896","678,714","1,167,347","598,117","569,230","515,431","269,304","246,127","1,223,392","631,086","592,306","117,501","66,280","51,221","648,146","329,989","318,157","60,482,353","30,551,814","29,930,539"
