"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
272057,"December 31, 2014",Alabama,Decatur,"1400 block of Riverview Avenue",0,1,N/A
274918,"December 31, 2014",Alabama,Montgomery,"1700 block of Yarborough Street",1,0,N/A
272746,"December 31, 2014",Texas,Navasota,N/A,0,1,N/A
272013,"December 31, 2014",Florida,Tampa,"10165 N Malcolm McKinley Dr",0,1,N/A
275839,"December 31, 2014",Indiana,"Sullivan (county)",N/A,0,1,N/A
271710,"December 30, 2014",Virginia,Richmond,"5800 block of Orcutt Lane",1,0,N/A
284002,"December 30, 2014",Texas,"College Station","2327 Arrington Rd",0,0,N/A
284000,"December 30, 2014","South Dakota","Sioux Falls","700 block of S. Summit Avenue",0,0,N/A
271870,"December 30, 2014",Tennessee,Clinton,"2688 Dutch Valley Rd",1,0,N/A
271119,"December 30, 2014",Ohio,Sharonville,"2300 East Kemper Road",0,2,N/A
271147,"December 30, 2014",Florida,Leesburg,"28229 Florida 33 off U.S. Highway 27",0,0,N/A
284045,"December 30, 2014",California,Stockton,"500 block of W. Clay Street",0,1,N/A
271090,"December 30, 2014",Idaho,Hayden,"550 W Honeysuckle Ave",1,0,N/A
273058,"December 30, 2014",Alabama,Arab,"Cranford Road",0,1,N/A
284562,"December 30, 2014",Florida,"West Palm Beach","2300 Caroma Lane",1,0,N/A
271525,"December 30, 2014",Texas,Dayton,"FM 1409 and County Road 460",0,1,N/A
271280,"December 29, 2014",Alabama,Odenville,"200 block of Pleasant Valley Road",1,0,N/A
270585,"December 29, 2014",Kentucky,Richmond,"Wayne Drive",1,0,N/A
271095,"December 29, 2014",Florida,Tallahassee,"800 block of Dover Street",1,0,N/A
270843,"December 29, 2014",Michigan,Detroit,"11200 block of Roxbury St",1,0,N/A
284008,"December 29, 2014",Georgia,Athens,N/A,0,1,N/A
284034,"December 29, 2014",Ohio,Cincinnati,"12th Street and Main Street",0,0,N/A
271384,"December 28, 2014",Mississippi,Tylertown,"Kirklin Road",1,0,N/A
270252,"December 28, 2014",Ohio,Twinsburg,"Ray Ct",0,1,N/A
270757,"December 27, 2014",Massachusetts,Worcester,"Hawley Street",0,1,N/A
269633,"December 27, 2014","New Mexico",Albuquerque,N/A,0,1,N/A
271389,"December 27, 2014",Florida,"Fort Pierce","500 block of North 13th Street",0,1,N/A
281784,"December 27, 2014","North Carolina",Graham,"Red Head Tail",0,1,N/A
283185,"December 27, 2014",Maryland,Hollywood,"Little Cliffs Rd",0,0,N/A
269610,"December 27, 2014",Virginia,Louisa,"400 block of School Bus Road",0,1,N/A
270518,"December 27, 2014",Ohio,Middletown,"2000 block of Queen Avenue",1,1,N/A
270458,"December 27, 2014","South Carolina","Lake City","McCutcheon Road",1,0,N/A
284079,"December 27, 2014",Florida,"Atlantic Beach","2400 block of Mayport Road",0,1,N/A
284074,"December 27, 2014",Colorado,Longmont,"1400 block of Baker Street",0,1,N/A
269718,"December 27, 2014",Indiana,Clarksville,"951 E Lewis and Clark",0,1,N/A
271439,"December 27, 2014",Massachusetts,Pittsfield,"Second Street",0,0,N/A
269677,"December 27, 2014",Iowa,Traer,"Ridge Road",1,0,N/A
270911,"December 27, 2014",Indiana,Greenwood,"600 block of Pine Lake Drive",0,1,N/A
270764,"December 26, 2014",Utah,"Cottonwood Heights","1227 E. 7370 South",0,0,N/A
269304,"December 26, 2014",Wisconsin,Madison,"914 W. Badger Road",0,1,N/A
270677,"December 26, 2014",Florida,Bradenton,"NW 21st Terrace",0,1,N/A
270617,"December 26, 2014",Idaho,Castleford,N/A,0,1,N/A
269072,"December 26, 2014","West Virginia",Cameron,"North Avenue",1,1,N/A
283208,"December 26, 2014","North Carolina",Greensboro,"2101 Randleman Road",0,1,N/A
276774,"December 26, 2014",Idaho,Blackfoot,N/A,1,0,N/A
